Symbol,Sector,industry
AZUL,Transportation,Air Freight/Delivery Services
AZRE,Public Utilities,Electric Utilities: Central
AZZ,Consumer Durables,Building Products
BGS,Consumer Non-Durables,Packaged Foods
BW,Capital Goods,Building Products
BGH,,
BMI,Capital Goods,Industrial Machinery/Components
BCSF,,
BKR,Energy,Metal Fabrications
BBN,,
BLL,Consumer Durables,Containers/Packaging
BALY,Consumer Services,Hotels/Resorts
BANC,Finance,Major Banks
BANC^D,,
BANC^E,,
BBAR,Finance,Commercial Banks
BBVA,Finance,Commercial Banks
BBD,Finance,Major Banks
BBDO,Finance,Major Banks
BCH,Finance,Commercial Banks
BLX,Finance,Commercial Banks
BSBR,Finance,Commercial Banks
BSAC,Finance,Commercial Banks
BSMX,Finance,Commercial Banks
SAN,Finance,Commercial Banks
CIB,Finance,Commercial Banks
BXS,,
BXS^A,,
BAC,Finance,Major Banks
BAC^A,,
BAC^B,,
BAC^C,,
BAC^E,,
BAC^K,,
BAC^L,,
BAC^M,,
BAC^N,,
BAC^O,,
BML^G,,
BML^H,,
BML^J,,
BML^L,,
BOH,Finance,Major Banks
BMO,Finance,Commercial Banks
NTB,Finance,Commercial Banks
BNS,Finance,Major Banks
BKU,Finance,Savings Institutions
BCS,Finance,Commercial Banks
BBDC,,
MCI,,
MPV,Consumer Services,Miscellaneous
BNED,Consumer Services,Other Specialty Stores
B,Capital Goods,Metal Fabrications
GOLD,Basic Industries,Precious Metals
BHC,Health Care,Major Pharmaceuticals
BAX,Health Care,Medical/Dental Instruments
BCE,Public Utilities,Telecommunications Equipment
BZH,Capital Goods,Homebuilding
BDX,Health Care,Medical/Dental Instruments
BDXB,Health Care,Medical/Dental Instruments
BDC,Basic Industries,Telecommunications Equipment
BRBR,Consumer Non-Durables,Packaged Foods
BHE,Technology,Electrical Products
BRK.A,,
BRK.B,,
BHLB,Finance,Banks
BERY,Consumer Non-Durables,Plastic Products
BBY,Consumer Services,Consumer Electronics/Video Chains
BEST,Transportation,Trucking Freight/Courier Services
BGSF,Technology,Professional Services
BHP,Basic Industries,Precious Metals
BBL,Energy,Coal Mining
BIG,Consumer Services,Department/Specialty Retail Stores
BH,Consumer Services,Restaurants
BH.A,,
BILL,Technology,Computer Software: Prepackaged Software
BHVN,Health Care,Major Pharmaceuticals
BIO,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BIO.B,,
BJ,Consumer Services,Department/Specialty Retail Stores
BKH,Public Utilities,Electric Utilities: Central
BKI,Technology,Computer Software: Prepackaged Software
BSM,Energy,Oil & Gas Production
BB,Technology,Computer Software: Prepackaged Software
BGIO,,
BFZ,,
BCAT,,
CII,,
BHK,,
HYT,,
BTZ,,
DSU,,
BGR,,
BDJ,,
EGF,,
FRA,,
BGT,,
BOE,,
BME,,
BMEZ,,
BAF,,
BKT,,
BGY,,
BKN,,
BTA,,
BZM,,
MHE,,
BIT,,
MUI,,
MUA,,
BBK,,
BBF,,
BYM,,
BFK,,
BLE,,
BTT,,
MEN,,
MUC,,
MUH,,
MHD,,
MFL,,
MUJ,,
MHN,,
MUE,,
MUS,,
MVT,,
MYC,,
MCA,,
MYD,,
MYF,,
MFT,,
MIY,,
MYJ,,
MYN,,
MPA,,
MQT,,
MYI,,
MQY,,
BNY,,
BSE,,
BFY,,
BCX,,
BST,,
BSTZ,,
BSD,,
BUI,,
BHV,,
BLK,Finance,Investment Bankers/Brokers/Service
BGX,,
BSL,,
BGB,,
BE,Energy,Industrial Machinery/Components
APRN,Consumer Services,Catalog/Specialty Distribution
BXG,Finance,Real Estate
BVH,Finance,Real Estate
BXC,Capital Goods,Wholesale Distributors
BOAC,Finance,Business Services
BOAC.U,,
BOAC.WS,,
DCF,,
DHF,,
DMB,,
DSM,,
LEO,,
BA,Capital Goods,Aerospace
BCC,Consumer Services,RETAIL: Building Materials
BCEI,Energy,Oil & Gas Production
BOOT,Consumer Services,Clothing/Shoe/Accessory Stores
BAH,Consumer Services,Professional Services
BQ,Consumer Services,Other Specialty Stores
BWA,Capital Goods,Auto Parts:O.E.M.
BORR,Energy,Oil & Gas Production
SAM,Consumer Non-Durables,Beverages (Production/Distribution)
BXP,Consumer Services,Real Estate Investment Trusts
BXP^B,,
BSX,Health Care,Medical/Dental Instruments
BSX^A,,
BOX,Technology,Computer Software: Prepackaged Software
BYD,Consumer Services,Hotels/Resorts
BPMP,Energy,Natural Gas Distribution
BP,Energy,Integrated oil Companies
BPT,Energy,Integrated oil Companies
BRC,Consumer Durables,Miscellaneous manufacturing industries
BHR,Consumer Services,Real Estate Investment Trusts
BHR^B,,
BHR^D,,
BDN,Consumer Services,Real Estate Investment Trusts
BWG,,
LND,Consumer Non-Durables,Farming/Seeds/Milling
BAK,Basic Industries,Major Chemicals
BRFS,Consumer Non-Durables,Meat/Poultry/Fish
MNRL,Energy,Oil & Gas Production
BFAM,Miscellaneous,Other Consumer Services
BEDU,Consumer Services,Other Consumer Services
BSA,Finance,Investment Managers
BSIG,Finance,Investment Managers
BV,Consumer Non-Durables,Farming/Seeds/Milling
EAT,Consumer Services,Restaurants
BCO,Transportation,Oil Refining/Marketing
BMY,Health Care,Major Pharmaceuticals
BMY~,,
VTOL,Transportation,Transportation Services
BTI,Consumer Non-Durables,Farming/Seeds/Milling
BRX,Consumer Services,Real Estate Investment Trusts
BRMK,Consumer Services,Real Estate Investment Trusts
BR,Miscellaneous,Business Services
BSN,Finance,Business Services
BSN.U,,
BSN.WS,,
BNL,Consumer Services,Real Estate Investment Trusts
BKD,Health Care,Hospital/Nursing Management
BAM,Consumer Services,Building operators
BBU,Basic Industries,Engineering & Construction
DTLA^,,
BAMH,Consumer Services,Building operators
BAMI,Consumer Services,Building operators
BIPC,Public Utilities,Oil & Gas Production
BIP,Consumer Services,Marine Transportation
BIP^A,,
RA,,
BEPC,Public Utilities,Electric Utilities: Central
BEP,Public Utilities,Electric Utilities: Central
BEP^A,,
BRO,Finance,Specialty Insurers
BF.A,,
BF.B,,
BRT,Consumer Services,Real Estate Investment Trusts
BC,Energy,Industrial Machinery/Components
BC^A,,
BC^B,,
BC^C,,
BKE,Consumer Services,Clothing/Shoe/Accessory Stores
BVN,Basic Industries,Precious Metals
BBW,Consumer Services,Recreational Products/Toys
BG,Consumer Non-Durables,Packaged Foods
BUR,Finance,Finance: Consumer Services
BURL,Consumer Services,Department/Specialty Retail Stores
BWXT,Energy,Industrial Machinery/Components
BY,Finance,Major Banks
AI,Technology,Computer Software: Prepackaged Software
CABO,Consumer Services,Television Services
CBT,Basic Industries,Major Chemicals
COG,Energy,Oil & Gas Production
CACI,Technology,EDP Services
WHD,Energy,Metal Fabrications
CADE,Finance,Major Banks
CAE,Miscellaneous,Industrial Machinery/Components
CAI,Technology,Diversified Commercial Services
CAI^A,,
CAI^B,,
CAL,Consumer Non-Durables,Shoe Manufacturing
CRC,Energy,Oil & Gas Production
CWT,Public Utilities,Water Supply
CALX,Consumer Services,Telecommunications Equipment
ELY,Consumer Non-Durables,Recreational Products/Toys
CPE,Energy,Oil & Gas Production
CPT,Consumer Services,Real Estate Investment Trusts
CCJ,Basic Industries,Precious Metals
CPB,Consumer Non-Durables,Packaged Foods
CWH,Consumer Durables,Automotive Aftermarket
GOOS,Consumer Non-Durables,Apparel
CM,Finance,Commercial Banks
CNI,Transportation,Railroads
CNQ,Energy,Oil & Gas Production
CP,Transportation,Railroads
CANG,Technology,Computer Software: Prepackaged Software
CNNE,Consumer Services,Restaurants
CAJ,Miscellaneous,Industrial Machinery/Components
CMD,Health Care,Medical/Dental Instruments
COF,Finance,Major Banks
COF^G,,
COF^H,,
COF^I,,
COF^J,,
COF^K,,
