,Sector,industry,Market Cap,Enterprise Value,Shares Outstanding,PEG Ratio,Price/Book,Price/Sales,Forward P/E,Trailing P/E,Quarterly Revenue Growth,Average Dividend Yield,Held by Insiders,Held by Institutions,Gross Profit,EBITDA,EBIT_Q,EBIT_Y,Quarterly Earnings Growth,Total Cash,Diluted EPS,Quarterly Cash Growth,Cash,Net Income Q,Net Income Y
ACM,Consumer Services,Military/Government/Technical,8210000000.000001,9310000000.0,160390000.0,0.9,2.4,0.6,20.0,51.3,-0.302,,0.0101,0.9423999999999999,709560000.0,753300000.0,140466000.0,521325000.0,,1710000000.0,-1.1,0.28323673370050206,1708332000.0,-230187000.0,-186370000.0
AEFC,Finance,Life Insurance,,,,,,,,,,,,,,,,,,,,,,,
AEB,Finance,Life Insurance,,,,,,,,,,,,,,,,,,,,,,,
AEG,Finance,Life Insurance,8740000000.0,4330000000.0,2029999999.9999998,13.2,0.2,0.2,5.3,8.2,-0.73,6.3,0.0,0.08130000000000001,4960000000.0,,65500000.0,1408000000.0,,,1.092,0.0,11138000000.0,-8500000.0,1239000000.0
AENZ,Basic Industries,Military/Government/Technical,408030000.0,808610000.0,174380000.0,,1.0,0.4,,,-0.38799999999999996,,0.0,0.1684,445670000.0,,28057000.0,-43495000.0,0.8540000000000001,,,-0.13330501283404717,820163000.0,14652000.0,-884721000.0
AER,Technology,Diversified Commercial Services,5610000000.0,33500000000.0,129759999.99999999,,0.6,1.2,7.4,3.0,-0.14,,0.0327,0.9906999999999999,2970000000.0,2510000000.0,498457000.0,2705811000.0,,3250000000.0,-0.1,0.36168811682765656,3244433000.0,-849929000.0,1145694000.0
AJRD,Capital Goods,Military/Government/Technical,4040000000.0,3690000000.0,76490000.0,3.6,5.7,2.1,26.1,34.7,0.095,,0.0253,1.0398,367900000.0,269900000.0,47400000.0,213300000.0,-0.036000000000000004,1010000000.0,1.5,0.006076302420559817,1010000000.0,31700000.0,141000000.0
AMG,Finance,Investment Managers,5000000000.0,6320000000.0,46550000.0,0.8,1.7,2.5,8.0,48.6,-0.099,,0.0123,1.0534999999999999,1300000000.0,634000000.0,159400000.0,697000000.0,-0.174,997600000.0,2.2,0.363556338028169,929400000.0,71300000.0,15700000.0
MGR,Finance,Investment Managers,,,,,,,,,,,,,,,,,,,,,,,
MGRB,Finance,Investment Managers,,,,,,,,,,,,,,,,,,,,,,,
AFL,Finance,Accident &Health Insurance,32380000000.000004,34640000000.0,702440000.0,,1.0,1.5,9.8,7.2,0.023,2.3,0.08689999999999999,0.6163000000000001,7760000000.0,4269999999.9999995,1216000000.0,4673000000.0,2.161,6390000000.0,6.3,0.006331403762662807,5563000000.0,2456000000.0,3304000000.0
MITT,,,129500000.0,,40720000.0,,1.0,0.6,20.7,1.0,-0.396,16.7,0.0173,0.31679999999999997,124150000.0,,0.0,0.0,0.995,44590000.0,-13.522,-0.3456786500366838,44592000.0,20046000.0,92922000.0
MITT^A,,,,,,,,,,,,,,,,,,,,,,,,,
MITT^B,,,,,,,,,,,,,,,,,,,,,,,,,
MITT^C,,,,,,,,,,,,,,,,,,,,,,,,,
AGCO,Capital Goods,Industrial Machinery/Components,8400000000.0,9590000000.0,74900000.0,1.6,2.9,0.9,18.5,41.2,0.184,0.9,0.1753,0.8292,1980000000.0,838300000.0,223500000.0,523300000.0,19.697,511000000.0,2.6,0.2636003956478734,511000000.0,157300000.0,125200000.0
A,Capital Goods,Biotechnology: Laboratory Analytical Instruments,39320000000.0,40240000000.0,306000000.0,3.2,8.0,7.4,34.4,55.7,0.085,0.8,0.0032,0.9007,2840000000.0,1350000000.0,320000000.0,1044000000.0,0.14400000000000002,1440000000.0,2.3,0.06111929307805596,1441000000.0,222000000.0,719000000.0
AEM,Basic Industries,Precious Metals,16739999999.999998,18100000000.0,242350000.0,,3.0,5.6,17.7,25.9,0.436,0.9,0.0011,0.7471,1260000000.0,1380000000.0,367581000.0,842990000.0,1.9040000000000001,321520000.0,2.6,-0.04148902921194209,315884000.0,222654000.0,473166000.0
ADC,Consumer Services,Real Estate Investment Trusts,3900000000.0,5030000000.0,63020000.0,,1.7,13.9,35.4,35.3,0.327,3.8,0.023399999999999997,1.1327,163970000.0,197110000.0,33778000.0,102698000.0,0.032,15000000.0,1.8,-0.49848335094236734,14715000.0,21280000.0,80081000.0
AL,Technology,Diversified Commercial Services,4920000000.0,18870000000.0,113780000.0,,0.8,2.3,7.9,8.8,-0.07,1.0,0.0623,1.0659999999999998,1310000000.0,,271673000.0,1169696000.0,-0.22699999999999998,1240000000.0,4.8,0.3369194816689784,1238569000.0,120395000.0,587121000.0
AL^A,,,,,,,,,,,,,,,,,,,,,,,,,
APD,Basic Industries,Major Chemicals,64250000000.0,66209999999.99999,220890000.0,1.8,5.3,7.3,30.4,34.0,0.016,2.2,0.0028000000000000004,0.8809999999999999,3000000000.0,3430000000.0,574600000.0,2247200000.0,-0.033,6370000000.0,8.4,0.33957260162186975,5253000000.0,486800000.0,1886700000.0
AJAX,Finance,Business Services,,,80500000.0,,,,,,,,,,,,0.0,,,120.28,,,,-5000.0,
AJAX.U,,,,,,,,,,,,,,,,,,,,,,,,,
AJAX.WS,,,,,,,,,,,,,,,,,,,,,,,,,
ALP^Q,,,,,,,,,,,,,,,,,,,,,,,,,
ALG,Capital Goods,Industrial Machinery/Components,1720000000.0,2000000000.0,11880000.0,,2.9,1.5,,30.4,0.073,0.4,0.027999999999999997,0.9273,276480000.0,145530000.0,31723000.0,99839000.0,0.15,93520000.0,4.9,0.14039901465817906,93515000.0,20033000.0,62906000.0
AGI,Basic Industries,Precious Metals,3130000000.0,2920000000.0,392730000.0,,1.1,4.3,11.9,30.2,0.263,0.4,0.003,0.7464,327700000.0,343700000.0,88000000.0,126000000.0,2.8360000000000003,314100000.0,0.2,0.36164927968206656,274100000.0,67900000.0,96100000.0
ALK,Transportation,Air Freight/Delivery Services,6300000000.0,7970000000.0,123660000.0,,1.8,1.2,44.6,83.0,-0.7070000000000001,1.9,0.0046,0.757,2490000000.0,-592000000.0,-527000000.0,1071000000.0,,3760000000.0,-5.6,0.2292909211398277,1855000000.0,-431000000.0,769000000.0
AIN,Basic Industries,Textiles,2460000000.0,2660000000.0,30700000.0,,3.3,2.6,,24.5,-0.218,1.2,0.0088,1.0046,397700000.0,248130000.0,39099000.0,194926000.0,-0.26,215300000.0,3.1,0.0552203766963835,215304000.0,29589000.0,132398000.0
